"","Season.Start","TVR","NULL.TVR","TVR.delta","Max.95","Min.95","Season.num","NBA","ABA","BAA","WNBA","min_season","years_since_pro","Teams","NumGames","Num_SubLeagues"
"126",2010,0.180717109324237,0.260148703790433,-0.0794315944661961,-0.0459183673469388,-0.0926406926406926,14,0,0,0,1,64,51,30,82,6
"127",2010,0.181208960303705,0.260068373419722,-0.0788594131160166,-0.0637049455155071,-0.153846153846154,62,1,0,0,0,64,3,12,34,2
"128",2010,0.181208960303705,0.260068373419722,-0.0788594131160166,-0.0637049455155071,-0.153846153846154,62,1,0,0,0,64,3,30,82,6
"129",2011,0.154020870837404,0.248655278971689,-0.094634408134285,-0.0671378091872792,-0.107834877843302,15,0,0,0,1,65,51,12,34,2
"130",2012,0.184409114249754,0.243846433497544,-0.0594373192477899,-0.0354330708661417,-0.0723350253807107,64,1,0,0,0,66,3,30,82,6
"131",2012,0.184409114249754,0.243846433497544,-0.0594373192477899,-0.0354330708661417,-0.0723350253807107,64,1,0,0,0,66,3,12,34,2
"132",2012,0.196648708272491,0.253468518974762,-0.0568198107022712,-0.0401665442076904,-0.142857142857143,16,0,0,0,1,66,51,30,82,6
"133",2012,0.196648708272491,0.253468518974762,-0.0568198107022712,-0.0401665442076904,-0.142857142857143,16,0,0,0,1,66,51,12,34,2
"134",2013,0.183018466896608,0.247106694515879,-0.0640882276192711,-0.0277777777777778,-0.0738603577611079,65,1,0,0,0,67,3,30,82,6
"135",2013,0.183018466896608,0.247106694515879,-0.0640882276192711,-0.0277777777777778,-0.0738603577611079,65,1,0,0,0,67,3,12,34,2
"136",2013,0.207789818625233,0.243913707456319,-0.0361238888310859,0.024390243902439,-0.048050139275766,17,0,0,0,1,67,51,30,82,6
"137",2013,0.207789818625233,0.243913707456319,-0.0361238888310859,0.024390243902439,-0.048050139275766,17,0,0,0,1,67,51,12,34,2
"138",2014,0.184609216623697,0.245079360269584,-0.0604701436458872,-0.0238095238095238,-0.0741813321452439,66,1,0,0,0,68,3,12,34,2
"139",2014,0.184609216623697,0.245079360269584,-0.0604701436458872,-0.0238095238095238,-0.0741813321452439,66,1,0,0,0,68,3,30,82,6
"140",2014,0.214989540057006,0.264754555285689,-0.0497650152286834,-0.0382814090816534,-0.0818181818181818,18,0,0,0,1,68,51,12,34,2
"141",2014,0.214989540057006,0.264754555285689,-0.0497650152286834,-0.0382814090816534,-0.0818181818181818,18,0,0,0,1,68,51,30,82,6
"142",2015,0.200899612474722,0.257904049886883,-0.0570044374121613,-0.0277227722772277,-0.0808823529411765,19,0,0,0,1,69,51,30,82,6
"143",2015,0.200899612474722,0.257904049886883,-0.0570044374121613,-0.0277227722772277,-0.0808823529411765,19,0,0,0,1,69,51,12,34,2
"144",2015,0.187226423444416,0.249124229321617,-0.0618978058772015,0.00684931506849315,-0.082018927444795,67,1,0,0,0,69,3,30,82,6
"145",2015,0.187226423444416,0.249124229321617,-0.0618978058772015,0.00684931506849315,-0.082018927444795,67,1,0,0,0,69,3,12,34,2
"146",2016,0.210446766886757,0.241228967401904,-0.030782200515148,-0.0167224080267558,-0.0392561983471074,68,1,0,0,0,70,3,30,82,6
"147",2016,0.210446766886757,0.241228967401904,-0.030782200515148,-0.0167224080267558,-0.0392561983471074,68,1,0,0,0,70,3,12,34,2
"148",2016,0.167236764609623,0.261435183842877,-0.0941984192332541,-0.0748323332156724,-0.173652694610778,20,0,0,0,1,70,51,30,82,6
"149",2016,0.167236764609623,0.261435183842877,-0.0941984192332541,-0.0748323332156724,-0.173652694610778,20,0,0,0,1,70,51,12,34,2
"150",2017,0.200370066836586,0.251244326667585,-0.0508742598309993,-0.0372632864996945,-0.0824022346368715,69,1,0,0,0,71,3,30,82,6
"151",2017,0.200370066836586,0.251244326667585,-0.0508742598309993,-0.0372632864996945,-0.0824022346368715,69,1,0,0,0,71,3,12,34,2
"152",2017,0.170105442286792,0.23951658700763,-0.069411144720837,-0.0556858147713951,-0.123076923076923,21,0,0,0,1,71,51,30,82,6
"153",2017,0.170105442286792,0.23951658700763,-0.069411144720837,-0.0556858147713951,-0.123076923076923,21,0,0,0,1,71,51,12,34,2
"154",2018,0.189210982315854,0.268321211754786,-0.0791102294389323,-0.0732758620689656,-0.0954653937947494,22,0,0,0,1,72,51,12,34,2
